Date, Ending Odometer ,Miles Since Last Fill,Gas Expense,Column1,Gallons,Price/gal,Octane,MPG,Notes
3/4/2026," 104,224 ",n/a,$58.59,,20.202,$2.8995,93,n/a,Gas fill-up
3/8/2026," 104,585 ",361,n/a,,n/a,n/a,n/a,n/a,Odometer check-in
3/9/2026," 104,921 ",336,$37.82,,11.676,$3.239,87,28.8,Gas fill-up
3/12/2026," 105,604 ",683,$71.82,,12.933,$5.55,87,52.8,Gas fill-up (price spike)
3/15/2026," 105,997 ",393,$42.00,,13.295,$3.159,87,29.6,Gas fill-up
3/16/2026," 106,212 ",215,$21.44,,6.78,$3.79 ,87,31.7,Gas fill-up (Murphy USA)
3/18/2026," 106,505 ",292.8,$44.81,,12.45,$3.60,87,23.50,"Shell Lilburn GA, fill-up photo, trip since last reset"
3/22/2026," 107,266 ","1,054",$47.97,,13.074,$3.669,87,80.6,Gas fill-up (Taco Tuesday)
3/24/2026," 107,592 ",326,$40.34,,11.209,$3.599,87,29.1,Gas fill-up (Murphy USA)
3/26/2026," 107,961 ",369,n/a,,n/a,n/a,n/a,29.1,Odometer check-in
3/28/2026," 108,286 ",694,$45.00,,12.503,$3.599,87,25.1,Gas fill-up (Regular with Techron)
3/30/2026," 108,723 ",437,$45.00,,12.503,$3.599,87,35.0,New fill-up (Regular with Techron)
2025-12-23,91718,438.0,Premium 93,13.412,3.129,41.97,,,,,
2025-12-25,92418,325.1,Premium 93,11.228,,,,,,,
2025-12-28,93001,,,,,,,,,,Current reading from app screenshot
